name,phone,address,website,google_maps_url,rating,review_count,business_status,primary_type,lead_category,why_relevant,found_via_query,latitude,longitude,place_id
Alex Ladda Architecture,+62 823-4049-2688,"Jl. Raya Tiyingtutul, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",https://alexladda.com/,https://maps.google.com/?cid=6906593050485396125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6309192,115.1402884,ChIJlXGYv54Yp60RnRJdZskl2V8
Altar Studio Architecture,+62 813-5311-5969,"Jl. Tunjung Tutur 1 No.5, Peguyangan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80115, Indonesia",https://www.instagram.com/altar_studio/?hl=en,https://maps.google.com/?cid=11682311786675482356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,7,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Berawa, Bali",-8.600726,115.21080520000001,ChIJB4ccxmU_0i0R9K4mqKzoH6I
Arkana Architects,+62 877-0511-6888,"Jl. Pengubengan Kauh No.85, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://arkanaarchitects.com/,https://maps.google.com/?cid=15754467180012788423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,50,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.664045699999999,115.17008259999999,ChIJPehg5G5H0i0Rx1o28m0co9o
Artalenta Indonesia,+62 361 9348123,"Perumahan, Gg. Uma Sari Petitenget St No.06, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali 80361, Indonesia",http://www.artalenta.com/,https://maps.google.com/?cid=9389146005227672396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,687,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6734551,115.16002449999999,ChIJs_I3RWtH0i0RTJPfwYvyTII
AtelierGVD,+62 851-5869-3010,"Jl. Gn. Muria No.44, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",http://www.ateliergvd.com/,https://maps.google.com/?cid=8822026323692266811&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,14,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6623291,115.1950669,ChIJXU3dbgtB0i0RO6XSRjMibno
Atmassa Studio (Architecture Firm & Legal Consultant),+62 813-3089-6095,"Jl. Gunung Gede No.3, Padangsambian, Denpasar Barat, Denpasar City, Bali 80119, Indonesia",https://bimantarastudio.wordpress.com/,https://maps.google.com/?cid=2091618236550837796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,24,OPERATIONAL,corporate_office,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.659833599999999,115.19245529999999,ChIJG-JsAahB0i0RJHZXS7TrBh0
BB Studio Designs,+62 812-3634-4545,"Jalan L.C Pertiwi Gatsu Barat, Kubu Bali Residence No.E, Kerobokan Kaja, Kuta Utara, Denpasar City, Bali 80361, Indonesia",,https://maps.google.com/?cid=9419535603923263125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL,,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Kerobokan, Bali",-8.638850699999999,115.17568649999998,ChIJRRA0Fbo40i0RlZ79lLnpuII
BUKIT KONSTRUKSI,+62 817-4700-066,"Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://maps.google.com/?cid=165238298300212620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Uluwatu, Bali",-8.825377,115.14071399999999,ChIJ5Tciztda0i0RjGV5WVsLSwI
Bajradana Architect,+62 851-8686-5766,"945F+J6C, Pererenan, Mengwi, Badung Regency, Bali 80351, Indonesia",https://www.instagram.com/bajradanaarchitect/,https://maps.google.com/?cid=9916712261305357272&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,15,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6409375,115.1230625,ChIJm1H6xaQ50i0R2NPdukI9n4k
Bale Design (Gede Arista Gunawan Architects & Associates),+62 812-4604-444,"Jl. Dukuh Sari No.2, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia",http://www.gedearista.com/,https://maps.google.com/?cid=18440235175898249428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,19,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6949236,115.21826019999999,ChIJpWXeqx5B0i0R1PgTIjHg6P8
Bali Blueprint,+62 821-4551-51110,"Jl. Beraban No.72xx, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://linktr.ee/baliblueprint,https://maps.google.com/?cid=17710078889151843123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Kerobokan, Bali",-8.6814213,115.1603502,ChIJuwSLm0RH0i0RM0sK7OrWxvU
Bali Landscape Company,+62 361 8975105,"Jl. Pantai Batu Mejan No.32AB, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",http://www.balilandscapecompany.com/,https://maps.google.com/?cid=3887405043310318233&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,25,OPERATIONAL,general_contractor,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6435449,115.13785179999999,ChIJibTSDiRH0i0RmdKSYErW8jU
Bali project studio,+62 821-4706-7237,"Jl. Raya Mas No.51, Mas, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",https://www.baliprojectstudio.com/,https://maps.google.com/?cid=4064240813659657136&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,2,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Ubud, Bali",-8.5542283,115.273569,ChIJdUCqfxQ90i0RsBPUm3wVZzg
Balitecture - Architectural Design Studio,+62 813-3978-3231,"Jl. Mertanadi No.81, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://www.balitecture.com/,https://maps.google.com/?cid=11952827292226710163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,9,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6756929,115.1669792,ChIJtyMG5d9H0i0Rk2rE7hf54KU
Bungaku Architecture Interior Contractor,+62 812-3838-9292,"Gg. XVII No.1, Penatih, Kec. Denpasar Tim., Kota Denpasar, Bali 80238, Indonesia",,https://maps.google.com/?cid=12375566168471411410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6326223,115.24167050000001,ChIJfQrxnC0_0i0R0poUltzXvqs
Carrera Architect Studio,+62 819-9931-6803,"Jl. Pratu Made Rambug No.63, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",,https://maps.google.com/?cid=5612120543770359820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Ubud, Bali",-8.639698400000002,115.26999370000001,ChIJR-qq_eo_0i0RDLgaeOZB4k0
D-EVA Studio,+62 823-4043-8980,"Jl. Raya Tumbakbayuh - Pererenan, Tumbak Bayuh, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",https://www.d-eva.com/,https://maps.google.com/?cid=9075787809727536782&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,37,OPERATIONAL,general_contractor,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6176279,115.14252950000001,ChIJ1UgozDA50i0Rjl6hZ-2s830
DAKP Studio,+62 831-1750-5131,"Jl. Raya Teges, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",,https://maps.google.com/?cid=16607383136679965240&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Ubud, Bali",-8.523964099999999,115.27031120000001,ChIJb5YrbU490i0RODKfHvlGeeY
DNA Furniture,+62 817-347-678,"Jl. Raya Kerobokan No.58, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,https://maps.google.com/?cid=3749858189780173069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,31,OPERATIONAL,home_improvement_store,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Kerobokan, Bali",-8.6764235,115.16457149999998,ChIJOVedeBVH0i0RDcHv7ycsCjQ
DNT studio architect,+62 819-3854-3409,"Jl. Raya Samu, Singapadu Kaler, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",,https://maps.google.com/?cid=13428940301032523370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Ubud, Bali",-8.5476698,115.24387709999999,ChIJ5TLhEVw90i0Raob44A0uXbo
Desaindua - Bali Interior Design Architect Consultant,+62 812-4677-7488,"Jl. Veteran No.27-33, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232, Indonesia",http://www.desaindua.com/,https://maps.google.com/?cid=13452701386295433556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,36,OPERATIONAL,,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6526687,115.2170521,ChIJE53-fn0_0i0RVFmLp6KYsbo
Design Assembly - Architecture & Interior Design Studio,+62 361 9347179,"Jl. Bumbak No.27, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://wearedesignassembly.com/,https://maps.google.com/?cid=17417798079842135646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,7,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6514476,115.15884700000001,ChIJYfAjVJ450i0RXq549hFzuPE
Design Bali Architect,+62 812-4634-536,"Jl. Sekar Tunjung XVIII A No.11, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia",http://www.designbali.com/,https://maps.google.com/?cid=15532372273158126105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,17,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.641447,115.2471906,ChIJw4GQh4U_0i0RGXq31EkSjtc
Elements Design Studio – Architecture Consulting,+62 821-4465-2189,"Jl. Babadan No.200, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali, shope 1, Pererenan, Kec. Mengwi, BALI, Jawa Timur 80351, Indonesia",https://elements-design-studio.com/,https://maps.google.com/?cid=6978051435384411665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,17,OPERATIONAL,,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6474475,115.1204187,ChIJSdVag9s50i0RERZ-Js8E12A
Emporio Architect,+62 822-1978-8877,"PERUM Piakan Indah Mesari, Jl. Piakan I No.18A, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",https://www.emporioarchitect.com/,https://maps.google.com/?cid=10844193872727869868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,223,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6050819,115.2465692,ChIJ__-oZzU-0i0RrIlpS99QfpY
FEN studio Architecture,+62 878-5546-3000,"Jl. Pulau Kangean No.88, Banyuning, selatan, Kabupaten Buleleng, Bali 81115, Indonesia",,https://maps.google.com/?cid=5766178297110904454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Pererenan, Bali",-8.120157599999999,115.11216549999999,ChIJvbst3XSR0S0Rhr7cVpyUBVA
Fendi Studio Architecture,+62 878-5546-3000,"Jl. Gempol gg jaya negara No.99, Banyuning, Kec. Buleleng, Kabupaten Buleleng, Bali 81115, Indonesia",,https://maps.google.com/?cid=1371742368212322135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Pererenan, Bali",-8.114670799999999,115.10109550000001,ChIJ8QVV6qyR0S0RVwemhGpoCRM
Focus Architect Studio,+62 812-3711-5415,"Jl. Gn. Krakatau No.5b, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80112, Indonesia",,https://maps.google.com/?cid=15318688097166015562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,6,OPERATIONAL,corporate_office,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Seminyak, Bali",-8.6626861,115.20766619999999,ChIJpdzvoh9B0i0RSryVmKnpltQ
GFAB Architects,+62 361 720001,"Jalan Kerta Husada No.24-28, No. III, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224, Indonesia",http://www.gfabarchitects.com/,https://maps.google.com/?cid=9166061006869783627&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,46,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.7074223,115.2353818,ChIJ1adajgpB0i0RS2QIAOxjNH8
GH+ Architect,+62 859-5858-0005,"Gg. Uma Anyar, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali, Indonesia",https://www.ghanorama.com/,https://maps.google.com/?cid=3360042444764210016&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,3,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6470485,115.26677329999998,ChIJJ6N6NRVB0i0RYONnHs1EoS4
GHA Studio,+62 812-4617-0527,"Jl. Kenyeri III / III D, No. 10, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80113, Indonesia",https://ghastudio.com/,https://maps.google.com/?cid=15391964381447056253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,6,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6381217,115.23115899999999,ChIJbU9tWyBB0i0RfeudBw4-m9U
Goldmonk Architects Studio,+62 812-3915-3316,"Jalan Batuyang, Gang Merpati 1B No. 04, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",,https://maps.google.com/?cid=4825593410227244386&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,13,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Berawa, Bali",-8.629667399999999,115.2655222,ChIJ58wD338_0i0RYo0Pt6Pz90I
Guna Arch Studio,+62 813-3877-8081,"Jl. Gn. Tangkuban Perahu, Kerobokan Kelod, Kec. Kuta Utara, Kota Denpasar, Bali 80117, Indonesia",,https://maps.google.com/?cid=3422700629406758820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Kerobokan, Bali",-8.6807093,115.17373299999998,ChIJFVNaG7JH0i0RpLdLlBbgfy8
"HDjaya Architect Studio Bali ""Design & Build""",+62 811-395-113,"Jl. Wagimin, Kediri, Kec. Kediri, Kabupaten Tabanan, Bali 82111, Indonesia",,https://maps.google.com/?cid=3964344462950580057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Pererenan, Bali",-8.5631831,115.13863029999999,ChIJi4_H2mU70i0RWb90-UguBDc
IBUKU Studio (Aldo's Kitchen),+62 361 9583036,"Jl. Meduri No.II, Sibang Kaja, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia",http://www.ibuku.com/,https://maps.google.com/?cid=3442357130160689876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,10,OPERATIONAL,corporate_office,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.5686091,115.2155345,ChIJf0aOfSA80i0R1NJCTZK1xS8
IMMASA Studio Bali,+62 361 425654,"Jl. Dewata No.1B, Ubung Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80115, Indonesia",http://immasastudio.com/,https://maps.google.com/?cid=17441907512819233773&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,6,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Seminyak, Bali",-8.6281141,115.19634259999998,ChIJu8yCxsdA0i0R7bPOwngaDvI
INS Design Studio,+62 812-3917-5215,"Jl. Sekar Tunjung No.77, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia",http://www.settoinspire.com/,https://maps.google.com/?cid=8855897495280608117&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.640627199999999,115.24986399999997,ChIJS2iOYwU_0i0RdeN49dl35no
Imade Bali Studio Arsitek,+62 817-4700-066,"Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://maps.google.com/?cid=14497172488870401579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Uluwatu, Bali",-8.8253509,115.14063960000001,ChIJH4Y6n3JE0i0RK5avvpFNMMk
ImajI Studio Architecture,+62 813-2039-4395,"Jl. Bikini Pertokoan Royal Aditya No.A5, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia",https://www.imajistudioarchitecture.com/,https://maps.google.com/?cid=10827950742106353873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,9,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6732502,115.18436779999999,ChIJtwta8TVH0i0R0TCtvNSbRJY
Imersif Architect Studio,+62 823-3888-9776,"Jl. Subak Daksina No.1, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://www.imersif.studio/,https://maps.google.com/?cid=14725828212358724269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,8,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.628819199999999,115.15550929999998,ChIJFeBeRKQ50i0RrToRBb2mXMw
